EDUCATIONAL ATTAINMENT,2014,2015,2016,2017,2018,2019,2020,TOTAL
High School Level,65,53,62,68,34,59,0,341
High School Graduate,6,15,14,35,64,12,0,146
Vocational Level,14,3,3,11,0,9,1,41
Vocational Graduate,203,154,279,260,295,278,50,1519
College Level,3084,4523,5672,4625,4078,1558,154,23694
College Graduate,724,1234,1739,2430,2529,2612,495,11763
Post Graduate Level,82,111,130,212,277,106,64,982
Post Graduate,162,193,290,328,434,598,96,2101
Not Reported / No Response,2,1,3,2,1,7,5,21
Total,4342,6287,8192,7971,7712,5239,865,40608
